num_impute,cate_impute,scale,pca,encode,r2
mean,most,none,none,onehot,-109677.21980670739
mean,most,none,none,ordinal,-106442.62077494767
mean,most,none,pca_0.95_auto,onehot,0.012917695976498389
mean,most,none,pca_0.95_auto,ordinal,0.01283876727851363
mean,most,none,pca_0.95_full,onehot,0.012917695976541466
mean,most,none,pca_0.95_full,ordinal,0.0128387672785234
mean,most,none,pca_0.99_auto,onehot,0.012917695976541466
mean,most,none,pca_0.99_auto,ordinal,0.0128387672785234
mean,most,none,pca_0.99_auto,onehot,0.012917695976541466
mean,most,none,pca_0.99_auto,ordinal,0.0128387672785234
mean,most,standard,none,onehot,0.9515555695619863
mean,most,standard,none,ordinal,0.6830211988238453
mean,most,standard,pca_0.95_auto,onehot,0.9515555695619909
mean,most,standard,pca_0.95_auto,ordinal,0.6830211988237923
mean,most,standard,pca_0.95_full,onehot,0.9515555695619861
mean,most,standard,pca_0.95_full,ordinal,0.6830211988237186
mean,most,standard,pca_0.99_auto,onehot,0.9515555695619861
mean,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
mean,most,standard,pca_0.99_auto,onehot,0.9515555695619861
mean,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
mean,most,minmax,none,onehot,-8029.2825734784865
mean,most,minmax,none,ordinal,-37550.20560929656
mean,most,minmax,pca_0.95_auto,onehot,-5712.931341013559
mean,most,minmax,pca_0.95_auto,ordinal,-40787.82332416398
mean,most,minmax,pca_0.95_full,onehot,-5577.490614029699
mean,most,minmax,pca_0.95_full,ordinal,-35643.29193888496
mean,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
mean,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
mean,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
mean,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
mean,most,robust,none,onehot,0.40331291487048615
mean,most,robust,none,ordinal,0.5038674101181732
mean,most,robust,pca_0.95_auto,onehot,0.11360235944110775
mean,most,robust,pca_0.95_auto,ordinal,0.07792032825525141
mean,most,robust,pca_0.95_full,onehot,0.11360235944107855
mean,most,robust,pca_0.95_full,ordinal,0.07792032825520956
mean,most,robust,pca_0.99_auto,onehot,0.11360235944107855
mean,most,robust,pca_0.99_auto,ordinal,0.07792032825520956
mean,most,robust,pca_0.99_auto,onehot,0.11360235944107855
mean,most,robust,pca_0.99_auto,ordinal,0.07792032825520956
mean,most,log1p_robust,none,onehot,0.9622273704011
mean,most,log1p_robust,none,ordinal,0.8782556430356855
mean,most,log1p_robust,pca_0.95_auto,onehot,0.9622290236570354
mean,most,log1p_robust,pca_0.95_auto,ordinal,0.8786044585701757
mean,most,log1p_robust,pca_0.95_full,onehot,0.9622290236570361
mean,most,log1p_robust,pca_0.95_full,ordinal,0.8786044585701565
mean,most,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
mean,most,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
median,none,none,none,onehot,-109677.21980670739
median,none,none,none,ordinal,-106442.62077494767
median,none,none,pca_0.95_auto,onehot,0.012917695976498389
median,none,none,pca_0.95_auto,ordinal,0.01283876727851363
median,none,none,pca_0.95_full,onehot,0.012917695976541466
median,none,none,pca_0.95_full,ordinal,0.0128387672785234
median,none,none,pca_0.99_auto,onehot,0.012917695976541466
median,none,none,pca_0.99_auto,ordinal,0.0128387672785234
median,none,none,pca_0.99_auto,onehot,0.012917695976541466
median,none,none,pca_0.99_auto,ordinal,0.0128387672785234
median,none,standard,none,onehot,0.9515555695619863
median,none,standard,none,ordinal,0.6830211988238453
median,none,standard,pca_0.95_auto,onehot,0.9515555695619909
median,none,standard,pca_0.95_auto,ordinal,0.6830211988237923
median,none,standard,pca_0.95_full,onehot,0.9515555695619861
median,none,standard,pca_0.95_full,ordinal,0.6830211988237186
median,none,standard,pca_0.99_auto,onehot,0.9515555695619861
median,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
median,none,standard,pca_0.99_auto,onehot,0.9515555695619861
median,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
median,none,minmax,none,onehot,-8029.2825734784865
median,none,minmax,none,ordinal,-37550.20560929656
median,none,minmax,pca_0.95_auto,onehot,-5712.931341013559
median,none,minmax,pca_0.95_auto,ordinal,-40787.82332416398
median,none,minmax,pca_0.95_full,onehot,-5577.490614029699
median,none,minmax,pca_0.95_full,ordinal,-35643.29193888496
median,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
median,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
median,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
median,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
median,none,robust,none,onehot,0.40331291487048615
median,none,robust,none,ordinal,0.5038674101181732
median,none,robust,pca_0.95_auto,onehot,0.11360235944110775
median,none,robust,pca_0.95_auto,ordinal,0.07792032825525141
median,none,robust,pca_0.95_full,onehot,0.11360235944107855
median,none,robust,pca_0.95_full,ordinal,0.07792032825520956
median,none,robust,pca_0.99_auto,onehot,0.11360235944107855
median,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
median,none,robust,pca_0.99_auto,onehot,0.11360235944107855
median,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
median,none,log1p_robust,none,onehot,0.9622273704011
median,none,log1p_robust,none,ordinal,0.8782556430356855
median,none,log1p_robust,pca_0.95_auto,onehot,0.9622290236570354
median,none,log1p_robust,pca_0.95_auto,ordinal,0.8786044585701757
median,none,log1p_robust,pca_0.95_full,onehot,0.9622290236570361
median,none,log1p_robust,pca_0.95_full,ordinal,0.8786044585701565
median,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
median,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
median,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
median,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
median,most,none,none,onehot,-109677.21980670739
median,most,none,none,ordinal,-106442.62077494767
median,most,none,pca_0.95_auto,onehot,0.012917695976498389
median,most,none,pca_0.95_auto,ordinal,0.01283876727851363
median,most,none,pca_0.95_full,onehot,0.012917695976541466
median,most,none,pca_0.95_full,ordinal,0.0128387672785234
median,most,none,pca_0.99_auto,onehot,0.012917695976541466
median,most,none,pca_0.99_auto,ordinal,0.0128387672785234
median,most,none,pca_0.99_auto,onehot,0.012917695976541466
median,most,none,pca_0.99_auto,ordinal,0.0128387672785234
median,most,standard,none,onehot,0.9515555695619863
median,most,standard,none,ordinal,0.6830211988238453
median,most,standard,pca_0.95_auto,onehot,0.9515555695619909
median,most,standard,pca_0.95_auto,ordinal,0.6830211988237923
median,most,standard,pca_0.95_full,onehot,0.9515555695619861
median,most,standard,pca_0.95_full,ordinal,0.6830211988237186
median,most,standard,pca_0.99_auto,onehot,0.9515555695619861
median,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
median,most,standard,pca_0.99_auto,onehot,0.9515555695619861
median,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
median,most,minmax,none,onehot,-8029.2825734784865
median,most,minmax,none,ordinal,-37550.20560929656
median,most,minmax,pca_0.95_auto,onehot,-5712.931341013559
median,most,minmax,pca_0.95_auto,ordinal,-40787.82332416398
median,most,minmax,pca_0.95_full,onehot,-5577.490614029699
median,most,minmax,pca_0.95_full,ordinal,-35643.29193888496
median,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
