num_impute,cate_impute,scale,pca,encode,r2
mean,most,minmax,pca_0.99_auto,ordinal,0.9942231759976786
mean,most,robust,none,onehot,0.9910530651973343
mean,most,robust,none,ordinal,0.9904962691152607
mean,most,robust,pca_0.95_auto,onehot,0.9263691451782882
mean,most,robust,pca_0.95_auto,ordinal,0.91321641827851
mean,most,robust,pca_0.95_full,onehot,0.9286905995566538
mean,most,robust,pca_0.95_full,ordinal,0.9108204709056165
mean,most,robust,pca_0.99_auto,onehot,0.9291742824212362
mean,most,robust,pca_0.99_auto,ordinal,0.9135779122331408
mean,most,robust,pca_0.99_auto,onehot,0.9295279176061766
mean,most,robust,pca_0.99_auto,ordinal,0.9131998760816749
mean,most,log1p_robust,none,onehot,0.9926902610606155
mean,most,log1p_robust,none,ordinal,0.9930984071286879
mean,most,log1p_robust,pca_0.95_auto,onehot,0.9892235025988194
mean,most,log1p_robust,pca_0.95_auto,ordinal,0.990185714677583
mean,most,log1p_robust,pca_0.95_full,onehot,0.9895412644390045
mean,most,log1p_robust,pca_0.95_full,ordinal,0.9890185262637029
mean,most,log1p_robust,pca_0.99_auto,onehot,0.9900869951910077
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.9898448749930814
mean,most,log1p_robust,pca_0.99_auto,onehot,0.98987115963629
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.9896876605292739
median,none,none,none,onehot,0.9927662265692767
median,none,none,none,ordinal,0.9930149508193137
median,none,none,pca_0.95_auto,onehot,0.7773811867876881
median,none,none,pca_0.95_auto,ordinal,0.7692399180673966
median,none,none,pca_0.95_full,onehot,0.7791361562508259
median,none,none,pca_0.95_full,ordinal,0.7686397690912178
median,none,none,pca_0.99_auto,onehot,0.7790120693722773
median,none,none,pca_0.99_auto,ordinal,0.7681157622917928
median,none,none,pca_0.99_auto,onehot,0.778600573934777
median,none,none,pca_0.99_auto,ordinal,0.7712385787008873
median,none,standard,none,onehot,0.9933352568276003
median,none,standard,none,ordinal,0.9923484753076119
median,none,standard,pca_0.95_auto,onehot,0.9952111981952221
median,none,standard,pca_0.95_auto,ordinal,0.9948061150033813
median,none,standard,pca_0.95_full,onehot,0.9953304656000126
median,none,standard,pca_0.95_full,ordinal,0.9949464134042975
