num_impute,cate_impute,scale,pca,encode,r2
mean,most,robust,pca_0.99_full,onehot,-0.028734550168896256
mean,most,robust,pca_0.99_full,ordinal,-0.07112940171639193
mean,most,log1p_robust,none,onehot,0.8271692570107161
mean,most,log1p_robust,none,ordinal,0.8174901349306231
mean,most,log1p_robust,pca_0.95_auto,onehot,0.8271692570107161
mean,most,log1p_robust,pca_0.95_auto,ordinal,0.8174901349306247
mean,most,log1p_robust,pca_0.95_full,onehot,0.8271692570107149
mean,most,log1p_robust,pca_0.95_full,ordinal,0.8174901349306234
mean,most,log1p_robust,pca_0.99_auto,onehot,0.8271692570107161
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.8174901349306247
mean,most,log1p_robust,pca_0.99_full,onehot,0.8271692570107149
mean,most,log1p_robust,pca_0.99_full,ordinal,0.8174901349306234
median,none,none,none,onehot,-266.4558825846091
median,none,none,none,ordinal,-337.3871026285053
median,none,none,pca_0.95_auto,onehot,-0.029455145970163743
median,none,none,pca_0.95_auto,ordinal,-0.07176679241680994
median,none,none,pca_0.95_full,onehot,-0.02945514597017196
median,none,none,pca_0.95_full,ordinal,-0.07176679241681172
median,none,none,pca_0.99_auto,onehot,-0.029455145970163743
median,none,none,pca_0.99_auto,ordinal,-0.07176679241680994
median,none,none,pca_0.99_full,onehot,-0.02945514597017196
median,none,none,pca_0.99_full,ordinal,-0.07176679241681172
median,none,standard,none,onehot,-266.45588258466074
median,none,standard,none,ordinal,-337.3871026286625
median,none,standard,pca_0.95_auto,onehot,-266.45588258466114
median,none,standard,pca_0.95_auto,ordinal,-337.38710262866493
median,none,standard,pca_0.95_full,onehot,-266.45588258466444
median,none,standard,pca_0.95_full,ordinal,-337.3871026286673
median,none,standard,pca_0.99_auto,onehot,-266.45588258466114
median,none,standard,pca_0.99_auto,ordinal,-337.38710262866493
median,none,standard,pca_0.99_full,onehot,-266.45588258466444
median,none,standard,pca_0.99_full,ordinal,-337.3871026286673
median,none,minmax,none,onehot,-266.4558825846211
median,none,minmax,none,ordinal,-337.38710262859416
median,none,minmax,pca_0.95_auto,onehot,-274.2940718846904
median,none,minmax,pca_0.95_auto,ordinal,-347.7675510939867
median,none,minmax,pca_0.95_full,onehot,-266.45588258466614
median,none,minmax,pca_0.95_full,ordinal,-337.3871026286643
median,none,minmax,pca_0.99_auto,onehot,-266.4558825846631
median,none,minmax,pca_0.99_auto,ordinal,-337.3871026286594
median,none,minmax,pca_0.99_full,onehot,-266.45588258466614
median,none,minmax,pca_0.99_full,ordinal,-337.3871026286643
median,none,robust,none,onehot,-266.4558825846493
median,none,robust,none,ordinal,-337.3871026286623
median,none,robust,pca_0.95_auto,onehot,-0.028734550168896034
median,none,robust,pca_0.95_auto,ordinal,-0.07112940171639193
median,none,robust,pca_0.95_full,onehot,-0.028734550168896256
median,none,robust,pca_0.95_full,ordinal,-0.07112940171639193
median,none,robust,pca_0.99_auto,onehot,-0.028734550168896034
median,none,robust,pca_0.99_auto,ordinal,-0.07112940171639193
median,none,robust,pca_0.99_full,onehot,-0.028734550168896256
median,none,robust,pca_0.99_full,ordinal,-0.07112940171639193
median,none,log1p_robust,none,onehot,0.8271692570107161
median,none,log1p_robust,none,ordinal,0.8174901349306231
median,none,log1p_robust,pca_0.95_auto,onehot,0.8271692570107161
median,none,log1p_robust,pca_0.95_auto,ordinal,0.8174901349306247
median,none,log1p_robust,pca_0.95_full,onehot,0.8271692570107149
median,none,log1p_robust,pca_0.95_full,ordinal,0.8174901349306234
median,none,log1p_robust,pca_0.99_auto,onehot,0.8271692570107161
median,none,log1p_robust,pca_0.99_auto,ordinal,0.8174901349306247
median,none,log1p_robust,pca_0.99_full,onehot,0.8271692570107149
median,none,log1p_robust,pca_0.99_full,ordinal,0.8174901349306234
median,most,none,none,onehot,-266.4558825846091
median,most,none,none,ordinal,-337.3871026285053
median,most,none,pca_0.95_auto,onehot,-0.029455145970163743
median,most,none,pca_0.95_auto,ordinal,-0.07176679241680994
median,most,none,pca_0.95_full,onehot,-0.02945514597017196
median,most,none,pca_0.95_full,ordinal,-0.07176679241681172
median,most,none,pca_0.99_auto,onehot,-0.029455145970163743
median,most,none,pca_0.99_auto,ordinal,-0.07176679241680994
median,most,none,pca_0.99_full,onehot,-0.02945514597017196
median,most,none,pca_0.99_full,ordinal,-0.07176679241681172
median,most,standard,none,onehot,-266.45588258466074
median,most,standard,none,ordinal,-337.3871026286625
median,most,standard,pca_0.95_auto,onehot,-266.45588258466114
median,most,standard,pca_0.95_auto,ordinal,-337.38710262866493
median,most,standard,pca_0.95_full,onehot,-266.45588258466444
median,most,standard,pca_0.95_full,ordinal,-337.3871026286673
median,most,standard,pca_0.99_auto,onehot,-266.45588258466114
median,most,standard,pca_0.99_auto,ordinal,-337.38710262866493
median,most,standard,pca_0.99_full,onehot,-266.45588258466444
median,most,standard,pca_0.99_full,ordinal,-337.3871026286673
median,most,minmax,none,onehot,-266.4558825846211
median,most,minmax,none,ordinal,-337.38710262859416
median,most,minmax,pca_0.95_auto,onehot,-274.2940718846904
median,most,minmax,pca_0.95_auto,ordinal,-347.7675510939867
median,most,minmax,pca_0.95_full,onehot,-266.45588258466614
