num_impute,cate_impute,scale,pca,encode,r2
mean,most,robust,pca_0.95_auto,ordinal,0.41361039113300024
mean,most,robust,pca_0.95_full,onehot,0.5856367216764369
mean,most,robust,pca_0.95_full,ordinal,0.5328480569232505
mean,most,robust,pca_0.99_auto,onehot,0.6144549487915081
mean,most,robust,pca_0.99_auto,ordinal,-20.759072250582594
mean,most,robust,pca_0.99_full,onehot,0.5298166644354915
mean,most,robust,pca_0.99_full,ordinal,0.5882618212455478
mean,most,log1p_robust,none,onehot,0.9775758409032934
mean,most,log1p_robust,none,ordinal,0.9733529700687269
mean,most,log1p_robust,pca_0.95_auto,onehot,0.9805373526764247
mean,most,log1p_robust,pca_0.95_auto,ordinal,0.9722816918128663
mean,most,log1p_robust,pca_0.95_full,onehot,0.9782425814064153
mean,most,log1p_robust,pca_0.95_full,ordinal,0.969424599243128
mean,most,log1p_robust,pca_0.99_auto,onehot,0.9779241970970557
mean,most,log1p_robust,pca_0.99_auto,ordinal,0.9596865519695221
mean,most,log1p_robust,pca_0.99_full,onehot,0.9803122976743693
mean,most,log1p_robust,pca_0.99_full,ordinal,0.962994558478286
median,none,standard,none,onehot,0.9734882257940344
median,none,standard,none,ordinal,0.9588133629989287
median,none,standard,pca_0.95_auto,onehot,0.976167433903148
median,none,standard,pca_0.95_auto,ordinal,0.9633392089381522
median,none,standard,pca_0.95_full,onehot,0.9731028622465268
median,none,standard,pca_0.95_full,ordinal,0.963051292416423
median,none,standard,pca_0.99_auto,onehot,0.9698073201713273
median,none,standard,pca_0.99_auto,ordinal,0.9607606088072913
median,none,standard,pca_0.99_full,onehot,0.974490396089466
median,none,standard,pca_0.99_full,ordinal,0.9350397218831531
median,none,minmax,none,onehot,0.9725488700251852
median,none,minmax,none,ordinal,0.9661953601928528
median,none,minmax,pca_0.95_auto,onehot,0.9760070899412363
median,none,minmax,pca_0.95_auto,ordinal,0.9614561158136516
median,none,minmax,pca_0.95_full,onehot,0.9730395283107945
median,none,minmax,pca_0.95_full,ordinal,0.9591723247518924
median,none,minmax,pca_0.99_auto,onehot,0.9712785342597633
median,none,minmax,pca_0.99_auto,ordinal,0.9519703887263837
median,none,minmax,pca_0.99_full,onehot,0.9667984025045082
median,none,minmax,pca_0.99_full,ordinal,0.9690002155979379
median,none,robust,none,onehot,0.9599792479206067
median,none,robust,none,ordinal,0.9511777163635933
median,none,robust,pca_0.95_auto,onehot,0.5859839618368226
median,none,robust,pca_0.95_auto,ordinal,0.5293237220835364
median,none,robust,pca_0.95_full,onehot,0.5522892908616699
median,none,robust,pca_0.95_full,ordinal,-0.2501946658609022
median,none,robust,pca_0.99_auto,onehot,0.6040253821902335
median,none,robust,pca_0.99_auto,ordinal,0.5625893043928868
median,none,robust,pca_0.99_full,onehot,0.5450248276419976
median,none,robust,pca_0.99_full,ordinal,0.38829631115930485
median,none,log1p_robust,none,onehot,0.9724650081592919
median,none,log1p_robust,none,ordinal,0.9541638265440364
median,none,log1p_robust,pca_0.95_auto,onehot,0.9739694700675967
median,none,log1p_robust,pca_0.95_auto,ordinal,0.9666617272984167
median,none,log1p_robust,pca_0.95_full,onehot,0.9793331709201407
median,none,log1p_robust,pca_0.95_full,ordinal,0.9680635430228828
median,none,log1p_robust,pca_0.99_auto,onehot,0.9829675115145753
median,none,log1p_robust,pca_0.99_auto,ordinal,0.9705746430284937
median,none,log1p_robust,pca_0.99_full,onehot,0.9804132069619665
median,none,log1p_robust,pca_0.99_full,ordinal,0.9754427079127417
median,most,standard,none,onehot,0.9767667053761083
median,most,standard,none,ordinal,0.954234470843643
median,most,standard,pca_0.95_auto,onehot,0.9707405526417495
median,most,standard,pca_0.95_auto,ordinal,0.9645589877659989
median,most,standard,pca_0.95_full,onehot,0.97500707490923
median,most,standard,pca_0.95_full,ordinal,0.941587374672354
median,most,standard,pca_0.99_auto,onehot,0.9787757876154138
median,most,standard,pca_0.99_auto,ordinal,0.9708590620547318
median,most,standard,pca_0.99_full,onehot,0.9693203160537334
median,most,standard,pca_0.99_full,ordinal,0.953006669107359
median,most,minmax,none,onehot,0.9711332336928648
median,most,minmax,none,ordinal,0.9672569394091912
median,most,minmax,pca_0.95_auto,onehot,0.9765036903253219
median,most,minmax,pca_0.95_auto,ordinal,0.9581456774425754
median,most,minmax,pca_0.95_full,onehot,0.9754844468774124
median,most,minmax,pca_0.95_full,ordinal,0.951335599264907
median,most,minmax,pca_0.99_auto,onehot,0.9723102895892903
median,most,minmax,pca_0.99_auto,ordinal,0.963891018027948
median,most,minmax,pca_0.99_full,onehot,0.9725903557235818
median,most,minmax,pca_0.99_full,ordinal,0.864651203572222
median,most,robust,none,onehot,0.965892175712922
median,most,robust,none,ordinal,0.9650707982088482
median,most,robust,pca_0.95_auto,onehot,0.5216726894728159
median,most,robust,pca_0.95_auto,ordinal,0.5169740508709579
median,most,robust,pca_0.95_full,onehot,0.5701126668631319
median,most,robust,pca_0.95_full,ordinal,0.5404116766291884
median,most,robust,pca_0.99_auto,onehot,0.44439427167815504
median,most,robust,pca_0.99_auto,ordinal,-0.3057760181332605
median,most,robust,pca_0.99_full,onehot,0.6077800238716304
median,most,robust,pca_0.99_full,ordinal,0.5762816724592585
median,most,log1p_robust,none,onehot,0.9793984524502308
median,most,log1p_robust,none,ordinal,0.9707002394431958
median,most,log1p_robust,pca_0.95_auto,onehot,0.9776377623937067
median,most,log1p_robust,pca_0.95_auto,ordinal,0.9752546800817301
median,most,log1p_robust,pca_0.95_full,onehot,0.980842864913855
median,most,log1p_robust,pca_0.95_full,ordinal,0.9647781950238355
median,most,log1p_robust,pca_0.99_auto,onehot,0.9773588536065594
median,most,log1p_robust,pca_0.99_auto,ordinal,0.9620524636179829
median,most,log1p_robust,pca_0.99_full,onehot,0.9759285505430734
median,most,log1p_robust,pca_0.99_full,ordinal,0.9636355176671992
